"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","DEG_status","Segment","HPI","OG","Gene_Name"
1853.33885161182,-0.0853886514799048,0.268096705992213,0.318499442818163,0.750106117231105,0.95201909132642,"AT1G01010","NOT Significant","Segment.2","No","OG0021601",""
764.047803810584,0.0451987374846218,0.152744666773643,-0.295910413367186,0.767298498306887,0.954983339068541,"AT1G01020","NOT Significant","Segment.2","No","OG0008651",""
37.8212973079482,-0.347633756964831,0.933966956350676,0.372212051615995,0.709734973823513,0.940172899583917,"AT1G01030","NOT Significant","Segment.2","No","OG0000221",""
2231.05111201495,0.193890077294813,0.208342640070383,-0.930630797561709,0.352044577857441,0.782553237069469,"AT1G01040","NOT Significant","Segment.2","No","OG0010297",""
4446.39607341347,0.132904563914183,0.109707480439789,-1.21144486575941,0.225724953108603,0.682289994506777,"AT1G01050","NOT Significant","Segment.2","No","OG0000318",""
1801.47374561903,1.35403272742523,0.519169827786322,-2.60807284043963,0.00910535763912796,0.125073868865483,"AT1G01060","NOT Significant","Segment.2","No","OG0004915",""
1709.82783429418,-0.017752987399143,0.180805734789344,0.0981881875584693,0.921782862101366,0.993173490224619,"AT1G01070","NOT Significant","Segment.2","No","OG0016683",""
300.251046828952,0.0244205313045898,0.168293025654498,-0.145107209342855,0.884626226305049,0.985407863482764,"AT1G01080","NOT Significant","Segment.2","No","OG0010967",""
12141.0161503837,-0.028962337703911,0.152929973184867,0.189383003872631,0.849792644373964,0.976009793743,"AT1G01090","NOT Significant","Segment.2","No","OG0005608",""
10251.3607738657,-0.0800143259494598,0.200281110930033,0.399510096473414,0.689517385802906,0.93358369673227,"AT1G01100","NOT Significant","Segment.2","No","OG0002148",""
459.133710113256,0.119322537942702,0.233643702598082,-0.510702991845507,0.609559045444477,0.906066368090095,"AT1G01110","NOT Significant","Segment.2","No","OG0005849",""
5346.35154658672,-0.317873519788879,0.250624958771276,1.26832347962189,0.204682455514302,0.657892025305981,"AT1G01120","NOT Significant","Segment.2","No","OG0000370",""
800.168879560364,0.519450821012341,0.38447496284444,-1.35106540402349,0.176674482503014,0.62361738716777,"AT1G01140","NOT Significant","Segment.2","No","OG0000464",""
5.92836127350887,-2.80337162898013,1.49495892903561,1.87521648557166,0.0607629471019565,0.383203120292032,"AT1G01150","NOT Significant","Segment.2","No","OG0007346",""
1452.84068819663,0.0336794508009735,0.106085877484965,-0.317473462061401,0.750884372971968,0.952438169259761,"AT1G01160","NOT Significant","Segment.2","No","OG0004158",""
188.744138129797,-0.509558725868295,0.26292713187818,1.93802260812089,0.0526204643544502,0.356965409046632,"AT1G01170","NOT Significant","Segment.2","No","OG0002611",""
961.736343330546,-0.0515869756114481,0.258001860490745,0.199948076007377,0.841521190328549,0.973262073521109,"AT1G01180","NOT Significant","Segment.2","No","OG0009714",""
128.757395356158,0.133175275225631,0.563275518589023,-0.236430078763637,0.813098958212824,0.965658612814962,"AT1G01190","NOT Significant","Segment.2","No","OG0001978",""
201.746227240805,0.110666525811684,0.176485849389467,-0.62705608520186,0.53062247191348,0.876328871781175,"AT1G01200","NOT Significant","Segment.2","No","OG0000392",""
534.220304209222,0.100487693583023,0.21753141775484,-0.461945656494887,0.644120291702929,0.91840343238186,"AT1G01210","NOT Significant","Segment.2","No","OG0006997",""
1462.09753014647,0.0236904122976572,0.104979950446614,-0.225666064775908,0.821461153644248,0.967470231990971,"AT1G01220","NOT Significant","Segment.2","No","OG0010969",""
237.836690389221,0.110973191120648,0.282076343030002,-0.393415448912157,0.694012661116432,0.935245432900398,"AT1G01225","NOT Significant","Segment.2","No","OG0004514",""
1790.15354936086,0.154716682387932,0.100079738555295,-1.54593411834754,0.122120479630572,0.530604210257375,"AT1G01230","NOT Significant","Segment.2","No","OG0002342",""
1087.71051431742,-0.132993836136303,0.12423440164655,1.07050731821186,0.284391016681356,0.734175906516985,"AT1G01240","NOT Significant","Segment.2","No","OG0002442",""
1225.12317616636,0.310466409486104,0.116699706962072,-2.66038722433987,0.00780508606570368,0.113967885319362,"AT1G01260","NOT Significant","Segment.2","No","OG0003736",""
600.502809910485,0.0625275361485636,0.106323527632321,-0.588087486758258,0.556473571768301,0.887512541622311,"AT1G01290","NOT Significant","Segment.2","No","OG0012497",""
2035.002629458,-0.089827017869179,0.154417417139089,0.581715583212151,0.560758273261246,0.888692682931342,"AT1G01300","NOT Significant","Segment.2","No","OG0003605",""
3.41566619658254,0.956709203713956,1.64198142290682,-0.582655315320364,0.560125359915798,0.888488306359275,"AT1G01310","NOT Significant","Segment.2","No","OG0021607",""
796.339292803514,-0.254452749456402,0.245546120006685,1.03627273544161,0.300074922041125,0.744823817797475,"AT1G01320","NOT Significant","Segment.2","No","OG0006999",""
1534.39450991442,0.208909740197425,0.303308465354502,-0.688769896195462,0.490968082692387,0.8591627953165,"AT1G01340","NOT Significant","Segment.2","No","OG0002614",""
1352.38161369465,0.0657023442110593,0.0917860843233764,-0.715820319554976,0.474102303938808,0.850559641244127,"AT1G01350","NOT Significant","Segment.2","No","OG0006111",""
2.80406193414102,-2.67313033566142,2.33727075515184,1.14369733577904,0.252749178673715,0.708124086631588,"AT1G01355","NOT Significant","Segment.2","No","OG0019047",""
932.363689524973,-0.0180401739854762,0.115751899436753,0.155852077359071,0.876149620329123,0.983491406122969,"AT1G01360","NOT Significant","Segment.2","No","OG0001033",""
303.844781295048,-0.248294097029542,0.233847050299522,1.06177989720852,0.288335618016366,0.735883672603808,"AT1G01370","NOT Significant","Segment.2","No","OG0000019",""
