"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","DEG_status","Segment"
41.775168323049,-2.52894867356387,0.780691657717502,3.23936940860585,0.00119794309998379,0.0473680548361365,"Tarv.1014.HPI3.1.g003790.t1","DOWN in weep","Segment.1"
438.418081068835,-1.8384904103378,0.297083761460356,6.18845810117809,6.0755551331392e-10,3.34570448282968e-07,"Tarv.1014.HPI3.1.g003800.t1","DOWN in weep","Segment.1"
190.344043360109,1.256730270666,0.324389085604443,-3.87414474295366,0.000106999806339635,0.00751973665068465,"Tarv.1014.HPI3.1.g004460.t1","UP in weep","Segment.1"
1554.91321840033,1.02287350073086,0.173207275853544,-5.90548806734747,3.51604237207915e-09,1.62010621789394e-06,"Tarv.1014.HPI3.1.g004850.t1","UP in weep","Segment.1"
12136.3293567478,1.32531107342926,0.232354630328295,-5.70382897709731,1.17145616745413e-08,4.26598989496441e-06,"Tarv.1014.HPI3.1.g005280.t1","UP in weep","Segment.1"
15135.7640492825,1.30117961273813,0.222018625142024,-5.86067773325673,4.60981840804926e-09,2.04079372582228e-06,"Tarv.1014.HPI3.1.g005440.t1","UP in weep","Segment.1"
97.421758957138,1.36167573052645,0.386698531860423,-3.5212849761166,0.000429460809600937,0.0224973692788166,"Tarv.1014.HPI3.1.g007210.t1","UP in weep","Segment.1"
371.195148034077,1.11030762288813,0.343590908283204,-3.23148138126215,0.00123150346684186,0.0482723702679785,"Tarv.1014.HPI3.1.g007790.t1","UP in weep","Segment.1"
64.5984510640579,-1.7058744649261,0.384066474725634,4.44161252591683,8.9287234041503e-06,0.00101302872873822,"Tarv.1014.HPI3.1.g007850.t1","DOWN in weep","Segment.1"
366.60890367617,1.04359950537972,0.195661832776025,-5.33368971645242,9.62369148932882e-08,2.38773303786886e-05,"Tarv.1014.HPI3.1.g012930.t1","UP in weep","Segment.1"
5807.6275122614,1.16242768092511,0.2428498200711,-4.78661125046246,1.69620933096803e-06,0.00025362261109004,"Tarv.1014.HPI3.1.g014850.t1","UP in weep","Segment.1"
15419.278111513,1.29979241595804,0.184684857069251,-7.0378938294365,1.95167301200169e-12,2.20324366324871e-09,"Tarv.1014.HPI3.1.g015440.t1","UP in weep","Segment.1"
8.53082469405937,4.80628616953805,1.4230668437246,-3.3774142028062,0.000731707758238236,0.0332456116355045,"Tarv.1014.HPI3.1.g017540.t1","UP in weep","Segment.1"
55.2510475141256,1.45272431142845,0.435565583233322,-3.33525964251924,0.000852197893170455,0.037361017537869,"Tarv.1014.HPI3.1.g020880.t1","UP in weep","Segment.1"
198.508590243252,1.75013689617018,0.5070711306892,-3.45146231021165,0.000557557622887793,0.0272479134406073,"Tarv.1014.HPI3.1.g023070.t1","UP in weep","Segment.1"
480.672240578223,1.86118090401559,0.345222625283351,-5.39124833573111,6.99698995193232e-08,1.90334986909311e-05,"Tarv.1014.HPI3.1.g023120.t1","UP in weep","Segment.1"
740.273509809343,1.60068001402837,0.324288627922641,-4.93597331575317,7.97520119483244e-07,0.000135386535772125,"Tarv.1014.HPI3.1.g023960.t1","UP in weep","Segment.1"
1717.91056446644,1.9638602831469,0.51541753012366,-3.81023183801244,0.000138836534527609,0.00905968577041723,"Tarv.1014.HPI3.1.g024450.t1","UP in weep","Segment.1"
289.007563733996,1.16437302706599,0.219259763185425,-5.31047288453603,1.09341152324918e-07,2.65452100773332e-05,"Tarv.1014.HPI3.1.g024590.t1","UP in weep","Segment.1"
1085.28415797013,1.08880900828058,0.232251058643982,-4.68806908626246,2.75794920340381e-06,0.000364146064996791,"Tarv.1014.HPI3.1.g025610.t1","UP in weep","Segment.1"
10795.0404832075,1.59462626983399,0.189573251386762,-8.41166281724351,4.04238547152974e-17,1.30384255965998e-13,"Tarv.1014.HPI3.1.g027090.t1","UP in weep","Segment.1"
12632.5347373297,1.38809277038809,0.256713646008373,-5.40716394306057,6.40305295655499e-08,1.80710162066373e-05,"Tarv.1014.HPI3.1.g028740.t1","UP in weep","Segment.1"
35.7933641974968,-1.16790357018871,0.361482915174112,3.23086796405351,0.00123414936140844,0.0482922431228418,"Tarv.1014.HPI3.1.g029480.t1","DOWN in weep","Segment.1"
982.722743041968,1.50435236264241,0.283400684883067,-5.30821710350881,1.10702736836726e-07,2.65898552372298e-05,"Tarv.1014.HPI3.1.g030830.t1","UP in weep","Segment.1"
1411.68804243335,1.37563177654904,0.275039156522784,-5.00158520677793,5.68608260505642e-07,0.000100822752808965,"Tarv.1014.HPI3.1.g030840.t1","UP in weep","Segment.1"
118.401994989327,1.64957836428212,0.471644857386922,-3.49750100832512,0.000469638937352322,0.0238817746115782,"Tarv.1014.HPI3.1.g030910.t1","UP in weep","Segment.1"
1846.09992384106,1.0311882364379,0.18260206961732,-5.64718811018392,1.630933470321e-08,5.84495490363613e-06,"Tarv.1014.HPI3.1.g031060.t1","UP in weep","Segment.1"
573.846435366458,1.02015486470189,0.2588598307637,-3.94095469232203,8.11579558650725e-05,0.00621147229668341,"Tarv.1014.HPI3.1.g031760.t1","UP in weep","Segment.1"
367.166435526633,-1.54630717967574,0.219261747722194,7.05233446207369,1.75940667686365e-12,2.0907307342225e-09,"Tarv.1014.HPI3.1.g031790.t1","DOWN in weep","Segment.1"
158.473306957288,-1.02514355632616,0.297788755074385,3.44251936601866,0.0005763225984759,0.0278634081978348,"Tarv.1014.HPI3.1.g034040.t1","DOWN in weep","Segment.1"
